No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
140,0.91796,17.57339,14.36485,8392.83008,0.1562,5.53E-06,5.55E-06,5.54E-06,-1.319946667,-1.26101,-1.24393,-12.10351606,-1.274962222,-4.37816,-28.45331571,0.517317817,0.417844278,0.064837905,0.055192331,18.35508234,87.17680711,18.29989001,68.82172477,-6.33634,-6.92858,-8.89971,0.017378986,5.779656697,27.45027278
141,0.87418,10.72378,10.154,8475.03027,0.23824,4.74E-06,4.73E-06,4.73E-06,-1.646753333,-1.747223333,-1.691906667,-12.26158536,-1.695294444,-2.71975,-29.49501363,0.726956522,0.262028986,0.010821256,0.04710768,16.34533651,81.13086361,16.29822883,64.7855271,-7.05875,-7.91424,-11.63875,0.022624088,7.850064454,38.96417233
142,0.80422,11.25124,11.19865,6761.89014,0.37496,7.73E-06,7.73E-06,7.73E-06,-2.861806667,-2.825933333,-2.799676667,-11.7704017,-2.829138889,-5.14006,-93.81010125,0.522147147,0.466591592,0.011261261,0.079618072,21.26534655,58.32612821,21.18572848,37.06078166,-11.1236,-11.60879,-13.92492,0.06018126,16.07393032,44.08722511
143,0.75342,10.16733,9.67446,3559.84009,0.46702,8.81E-06,8.79E-06,8.81E-06,-3.538036667,-3.48656,-3.612056667,-11.64075884,-3.545551111,-4.93405,-64.43467488,0.263727765,0.678009796,0.058262439,0.088549282,18.89741829,44.44929719,18.80886901,25.5518789,-14.33043,-13.06492,-15.46079,0.083365277,17.79109308,41.84706987
144,0.70165,10.21407,10.08223,2580.72998,0.57687,3.73E-06,3.75E-06,3.76E-06,-2.64276,-2.599083333,-2.604853333,-12.49642495,-2.615565556,-4.62227,125.1475201,0.246975806,0.728830645,0.024193548,0.037453865,10.48669645,27.28583571,10.44924258,16.79913926,-11.86742,-12.0905,-14.7738,0.043555126,12.1949866,31.73071733
145,0.95931,31.85404,24.57474,8534.80957,0.0787,7.90E-06,7.90E-06,7.93E-06,-1.046758333,-1.065778333,-1.009881333,-11.74738278,-1.040806,-3.07166,-19.47890022,0.446998723,0.361430396,0.014303959,0.077432502,26.0184041,116.8774672,25.9409716,90.85906307,-4.97178,-5.51616,-6.89697,0.012284648,4.127813462,18.54258165
146,0.72096,14.87351,14.64627,2615.26001,0.51415,3.67E-06,3.66E-06,3.64E-06,-2.65149,-2.700986667,-2.705466667,-12.51804741,-2.685981111,-4.33916,436.245276,0.204678363,0.762573099,0.032748538,0.036956601,10.80176485,31.78834011,10.76480824,20.98657526,-10.98712,-11.39151,-13.37978,0.038304212,11.19564799,32.94749246
147,0.75037,27.13079,26.94152,1680.04004,0.55711,2.02E-06,2.01E-06,2.01E-06,-1.940906667,-1.982966667,-1.95662,-13.11737584,-1.960164444,-2.51833,340.2336605,0.140182648,0.84109589,0.017351598,0.019872715,6.369287208,22.11938804,6.349414493,15.75010083,-8.84154,-9.49248,-10.24119,0.022318389,7.153135683,24.84155271
148,0.57057,10.56229,9.7242,796.69299,1.08544,1.40E-06,1.40E-06,1.40E-06,-3.16518,-3.02768,-3.041,-13.47903832,-3.077953333,-1.24083,221.1725321,0.093603744,0.857774311,0.048621945,0.013621763,3.277924632,8.483947195,3.264302869,5.206022563,-12.37047,-12.24186,-13.05629,0.029806008,7.172481914,18.56386728
149,0.76718,36.5559,36.35398,1944.97998,0.43899,3.77E-06,3.76E-06,3.76E-06,-2.824576667,-2.84542,-2.919916667,-12.4910916,-2.863304444,-4.36762,46.95572877,0.141798942,0.819047619,0.038518519,0.037525737,10.30879721,28.62524119,10.27127147,18.31644398,-11.96043,-11.99981,-12.45059,0.033208445,9.122782062,25.33194043
150,0.59693,17.17805,16.82414,1692.73999,0.77684,3.55E-06,3.53E-06,3.53E-06,-3.595383333,-3.535083333,-3.587016667,-12.55138383,-3.572494444,-3.10832,589.5972544,0.077562903,0.898731545,0.023705552,0.03612249,7.050501714,15.74559913,7.014379223,8.695097418,-13.93072,-13.43148,-12.886,0.056568405,11.04120004,24.65786362
